"token","lemma","beginIndex","endIndex","previousWord","nextWord"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97800_97809","маџарски","97800","97809","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97798_97799","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97810_97816"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97826_97828","се","97826","97828","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97821_97825","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97829_97833"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97829_97833","овај","97829","97833","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97826_97828","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97834_97837"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97834_97837","рат","97834","97837","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97829_97833","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97838_97844"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97838_97844","започети","97838","97844","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97834_97837","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97844_97845"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97846_97851","одмах","97846","97851","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97844_97845","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97852_97853"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97852_97853","у","97852","97853","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97846_97851","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97854_97859"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97854_97859","цео","97854","97859","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97852_97853","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97860_97867"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97860_97867","српство","97860","97867","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97854_97859","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97868_97874"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97868_97874","закуцати","97868","97874","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97860_97867","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97875_97880"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97875_97880","једити","97875","97880","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97868_97874","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97881_97885"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97881_97885","срце","97881","97885","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97875_97880","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97885_97886"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97887_97889","од","97887","97889","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97885_97886","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97890_97893"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97890_97893","тај","97890","97893","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97887_97889","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97894_97898"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97894_97898","дан","97894","97898","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97890_97893","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97899_97902"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97899_97902","сав","97899","97902","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97894_97898","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97903_97907"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97903_97907","Срба","97903","97907","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97899_97902","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97908_97915"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_984_985","и","984","985","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_978_983","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_986_992"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97908_97915","имати","97908","97915","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97903_97907","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97916_97921"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97916_97921","један","97916","97921","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97908_97915","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97922_97928"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97922_97928","намера","97922","97928","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97916_97921","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97928_97929"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97930_97935","један","97930","97935","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97928_97929","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97936_97940"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97953_97958","моћи","97953","97958","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97950_97952","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97959_97963"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97959_97963","бити","97959","97963","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97953_97958","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97964_97972"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97964_97972","скупљати","97964","97972","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97959_97963","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97973_97975"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9797_9800","кад","9797","9800","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9795_9796","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9801_9803"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97973_97975","се","97973","97975","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97964_97972","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97976_97982"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97976_97982","уједно","97976","97982","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97973_97975","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97982_97983"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9801_9803","ти","9801","9803","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9797_9800","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9804_9809"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97984_97985","и","97984","97985","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97982_97983","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97986_97992"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97986_97992","дизати","97986","97992","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97984_97985","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97993_97999"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97993_97999","оружје","97993","97999","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97986_97992","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98000_98002"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98000_98002","на","98000","98002","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_97993_97999","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98003_98009"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98003_98009","обрана","98003","98009","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98000_98002","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98010_98015"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98010_98015","свој","98010","98015","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98003_98009","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98016_98026"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9804_9809","велим","9804","9809","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9801_9803","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9810_9811"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98038_98041","овај","98038","98041","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98031_98037","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98042_98044"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98042_98044","не","98042","98044","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98038_98041","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98045_98051"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98045_98051","моћи","98045","98051","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98042_98044","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98052_98056"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98052_98056","бити","98052","98056","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98045_98051","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98056_98057"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98058_98061","они","98058","98061","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98056_98057","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98062_98064"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98062_98064","се","98062","98064","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98058_98061","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98065_98071"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98065_98071","молити","98065","98071","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98062_98064","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98072_98076"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98072_98076","бог","98072","98076","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98065_98071","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98077_98079"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98077_98079","за","98077","98079","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98072_98076","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98080_98085"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98080_98085","свој","98080","98085","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98077_98079","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98086_98091"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98086_98091","браћа","98086","98091","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98080_98085","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98092_98093"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98092_98093","у","98092","98093","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98086_98091","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98094_98098"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98094_98098","бој","98094","98098","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98092_98093","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98098_98099"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98100_98101","и","98100","98101","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98098_98099","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98102_98108"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98102_98108","желити","98102","98108","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98100_98101","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98109_98111"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98109_98111","да","98109","98111","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98102_98108","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98112_98116"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98112_98116","доћи","98112","98116","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98109_98111","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98117_98122"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9812_9816","рећи","9812","9816","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9810_9811","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9817_9819"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98117_98122","згода","98117","98122","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98112_98116","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98123_98124"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98123_98124","и","98123","98124","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98117_98122","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98125_98129"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98125_98129","она","98125","98129","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98123_98124","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98130_98138"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98130_98138","показати","98130","98138","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98125_98129","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98139_98141"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9817_9819","он","9817","9819","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9812_9816","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9820_9824"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98139_98141","се","98139","98141","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98130_98138","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98141_98142"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98143_98144","и","98143","98144","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98141_98142","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98145_98146"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98147_98153","умрети","98147","98153","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98145_98146","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98154_98156"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98154_98156","за","98154","98156","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98147_98153","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98157_98162"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98165_98171","Младен","98165","98171",,"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98172_98174"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98172_98174","јесам","98172","98174","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98165_98171","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98175_98178"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98175_98178","бити","98175","98178","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98172_98174","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98179_98183"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98179_98183","међу","98179","98183","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98175_98178","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98184_98190"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9820_9824","овај","9820","9824","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9817_9819","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9825_9837"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98199_98204","одмах","98199","98204","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98196_98198","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98205_98211"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98205_98211","заићи","98205","98211","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98199_98204","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98212_98214"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98212_98214","по","98212","98214","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98205_98211","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98215_98221"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9825_9837","наговарати","9825","9837","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9820_9824","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_9838_9840"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98215_98221","народ","98215","98221","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98212_98214","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98222_98223"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98222_98223","и","98222","98223","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98215_98221","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98224_98231"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98224_98231","позивати","98224","98231","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98222_98223","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98232_98236"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98232_98236","људи","98232","98236","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98224_98231","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98237_98239"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98237_98239","да","98237","98239","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98232_98236","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98240_98246"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98240_98246","оставити","98240","98246","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98237_98239","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98247_98252"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98247_98252","свој","98247","98252","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98240_98246","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98253_98260"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98253_98260","посао","98253","98260","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98247_98252","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98261_98262"
"http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98261_98262","и","98261","98262","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98253_98260","http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_98263_98268"
